"","X","family","address","city","school","lattitude","longitude"
"38",38,"Poutang","16496 104 Ave","Surrey","Bothwell Elementary School",49.191409,-122.764595
"41",41,"Robinson","17738 100a Ave","Surrey","Bothwell Elementary School",49.1848396,-122.7304998
"42",42,"Roogle","17786 100a Ave","Surrey","Bothwell Elementary School",49.1853337,-122.7290904
"43",43,"Tinder","17786 100a Ave","Surrey","Bothwell Elementary School",49.1853337,-122.7290904
"44",44,"Barinderie","10110 178 St","Surrey","Bothwell Elementary School",49.185793,-122.7299637
"45",45,"Kenneth","17768 100 Ave","Surrey","Bothwell Elementary School",49.184097,-122.73016
"46",46,"Thankq","17782 100 Ave","Surrey","Bothwell Elementary School",49.184098,-122.729696
"47",47,"Sedin","9926 180a St","Surrey","Bothwell Elementary School",49.1826894,-122.7241072
"48",48,"Stamkos","18042 98a Ave","Surrey","Bothwell Elementary School",49.1811998,-122.72274
"49",49,"Snake","18028 98a Ave","Surrey","Bothwell Elementary School",49.1812032,-122.7231831
"50",50,"Virtanen","10119 170a St","Surrey","Bothwell Elementary School",49.1864888,-122.7503917
"51",51,"Virk","10197 170a St","Surrey","Bothwell Elementary School",49.1859583,-122.7500137
"52",52,"Boeser","17136 102a Ave","Surrey","Bothwell Elementary School",49.1886069,-122.7479136
"53",53,"Jovasdf","10270 171a St","Surrey","Bothwell Elementary School",49.1891966,-122.7471471
"54",54,"Martin","10280 171a St","Surrey","Bothwell Elementary School",49.1893946,-122.7471694
"55",55,"Fudoo","17138 171a St","Surrey","Bothwell Elementary School",49.1906263,-122.747712
"56",56,"Mother of Dragons","10454 168a St","Surrey","Bothwell Elementary School",49.1923465,-122.7564666
"57",57,"Unburnt","10498 168a St","Surrey","Bothwell Elementary School",49.1933779,-122.7562006
"58",58,"Breaker of Chains","10438 168a St","Surrey","Bothwell Elementary School",49.1922472,-122.7564648
"59",59,"Stormborn","10466 168 St","Surrey","Bothwell Elementary School",49.192421,-122.756468
"60",60,"Queen of the Andles","10468 168 St","Surrey","Bothwell Elementary School",49.192759,-122.756288
"61",61,"And the First Men","10496 168 St","Surrey","Bothwell Elementary School",49.193328,-122.756291
"62",62,"Khaleese","16827 105a Ave","Surrey","Bothwell Elementary School",49.1946338,-122.7564336
"63",63,"Jeoffry","16855 105a Ave","Surrey","Bothwell Elementary School",49.1945805,-122.75537
