"","family","address","city","school","lattitude","longitude","Cluster","fakeDist"
"24","Clegene","16925 105a Ave","Surrey","Bothwell Elementary School",49.194654,-122.7532252,"4",2882.33782744431
"25","Bolton","10507 169a St","Surrey","Bothwell Elementary School",49.1938929,-122.7533223,"4",2369.4478831219
"26","Targaryen","16975 104a Ave","Surrey","Bothwell Elementary School",49.1926245,-122.7519002,"4",1295.84888259321
"27","Martell","10528 170a St","Surrey","Bothwell Elementary School",49.1939502,-122.7509284,"4",1517.21291675372
"28","Blackfyre","10498 171 St","Surrey","Bothwell Elementary School",49.1931889,-122.748676,"1",1842.70921174763
"29","Mormont","17101 104a Ave","Surrey","Bothwell Elementary School",49.191695,-122.748372,"1",1728.60393194645
"30","Greyjoy","17138 104a Ave","Surrey","Bothwell Elementary School",49.1922995,-122.7478375,"1",1575.55123844231
"31","Tyrell","17192 101a Ave","Surrey","Bothwell Elementary School",49.1868375,-122.7459521,"1",1753.34480130766
"32","John","10130 171a St","Surrey","Bothwell Elementary School",49.1866214,-122.7468566,"1",1004.04986653896
"33","Jake","10108 171a St","Surrey","Bothwell Elementary School",49.1862641,-122.7469693,"1",456.916345606325
"34","Jyro","16650 102 Ave","Surrey","Bothwell Elementary School",49.188563,-122.760108,"4",1518.6113872868
"35","Food","16650 102 Ave","Surrey","Bothwell Elementary School",49.188563,-122.760108,"4",2374.26634782506
"36","Poutine","16668 Parkview Pl","Surrey","Bothwell Elementary School",49.189727,-122.760326,"4",1701.92851829133
"37","Poutang","16496 104 Ave","Surrey","Bothwell Elementary School",49.191409,-122.764595,"4",2470.08322816622
"38","Robinson","17738 100a Ave","Surrey","Bothwell Elementary School",49.1848396,-122.7304998,"2",1943.51579645718
"39","Roogle","17786 100a Ave","Surrey","Bothwell Elementary School",49.1853337,-122.7290904,"2",1552.176772065
"40","Tinder","17786 100a Ave","Surrey","Bothwell Elementary School",49.1853337,-122.7290904,"2",543.235311548924
"41","Barinderie","10110 178 St","Surrey","Bothwell Elementary School",49.185793,-122.7299637,"2",2051.73175790766
"42","Kenneth","17768 100 Ave","Surrey","Bothwell Elementary School",49.184097,-122.73016,"2",985.268958401633
"43","Thankq","17782 100 Ave","Surrey","Bothwell Elementary School",49.184098,-122.729696,"2",366.532510396326
"44","Sedin","9926 180a St","Surrey","Bothwell Elementary School",49.1826894,-122.7241072,"2",1574.0478733324
"45","Stamkos","18042 98a Ave","Surrey","Bothwell Elementary School",49.1811998,-122.72274,"2",276.494503367459
"46","Snake","18028 98a Ave","Surrey","Bothwell Elementary School",49.1812032,-122.7231831,"2",1633.23719271342
"47","Virtanen","10119 170a St","Surrey","Bothwell Elementary School",49.1864888,-122.7503917,"1",791.804087942466
"48","Virk","10197 170a St","Surrey","Bothwell Elementary School",49.1859583,-122.7500137,"1",2705.12581386021
"49","Boeser","17136 102a Ave","Surrey","Bothwell Elementary School",49.1886069,-122.7479136,"1",621.349666029913
"50","Jovasdf","10270 171a St","Surrey","Bothwell Elementary School",49.1891966,-122.7471471,"1",1401.99141810951
"51","Martin","10280 171a St","Surrey","Bothwell Elementary School",49.1893946,-122.7471694,"1",2687.25699829357
"52","Fudoo","17138 171a St","Surrey","Bothwell Elementary School",49.1906263,-122.747712,"1",2174.37546520028
"53","Mother of Dragons","10454 168a St","Surrey","Bothwell Elementary School",49.1923465,-122.7564666,"4",1865.63257900532
"54","Unburnt","10498 168a St","Surrey","Bothwell Elementary School",49.1933779,-122.7562006,"4",2009.41936517088
"55","Breaker of Chains","10438 168a St","Surrey","Bothwell Elementary School",49.1922472,-122.7564648,"4",1036.96877511172
"56","Stormborn","10466 168 St","Surrey","Bothwell Elementary School",49.192421,-122.756468,"4",484.866952848621
"57","Queen of the Andles","10468 168 St","Surrey","Bothwell Elementary School",49.192759,-122.756288,"4",2505.32604985847
"58","And the First Men","10496 168 St","Surrey","Bothwell Elementary School",49.193328,-122.756291,"4",380.136366360821
"59","Khaleese","16827 105a Ave","Surrey","Bothwell Elementary School",49.1946338,-122.7564336,"4",2372.4190789361
"60","Jeoffry","16855 105a Ave","Surrey","Bothwell Elementary School",49.1945805,-122.75537,"4",263.650765975239
